rank,SEQPLT14,PNAME,PSTATABB,PLFUELCT,co2_intensity,pred_intensity,residual_zscore,pred_uncertainty,ensemble_score,verification_status
1,4415,New Prague,MN,GAS,0.0,2055.6099,4.409367042906099,1.0425142,0.6272451607586882,suspicious
2,1477,SF Southeast Cogen Plant,CA,BIOMASS,0.0,1187.2721,4.151288532967785,1.0201359,0.5729524029278946,missing
3,2255,BJ Gas Recovery,GA,BIOMASS,0.0,1281.6089,4.187230288037283,1.0123626,0.5714973644325962,missing
4,3412,Cox Waste to Energy,KY,BIOMASS,0.0,1212.1499,4.16103660169483,1.0376971,0.5508866825666163,missing
5,1991,New Milford Gas Recovery,CT,BIOMASS,0.0,1038.844,4.0885144071919015,0.767275,0.5352196251276282,missing
6,7635,Snider Industries,TX,BIOMASS,0.0,563.7757,3.8013428934824565,0.8580412,0.5286780243124276,missing
7,2358,Scherer,GA,COAL,2371.147,5042.348,1.1751263695971594,1.7957329,0.5261664118894347,verified
8,1836,Front Range Project,CO,BIOMASS,0.0,673.7433,3.885040606170701,1.0646523,0.5134826843122737,missing
9,365,Palo Verde,AZ,NUCLEAR,0.0,0.0,0.6066342689692866,1.0189229,0.5121560261019195,missing
10,1495,Sierra Power,CA,BIOMASS,0.0,328.71912,3.5481436898017824,0.74829453,0.5111237192096183,missing
11,4383,Madelia,MN,GAS,0.0,672.29315,3.8840284025001504,0.8719999,0.5102839238743461,suspicious
12,6410,Hoge Lumber,OH,BIOMASS,0.0,264.6715,3.446532080902441,0.96791,0.49406902939045777,missing
13,6935,Pennsbury,PA,BIOMASS,0.0,644.4611,3.864167270504395,1.0023917,0.4907847947886552,missing
14,3838,FC Landfill Energy,MD,BIOMASS,0.0,152.53183,3.18855048408152,0.81077445,0.4902347328992344,missing
15,5665,Middlesex Generating Facility,NJ,BIOMASS,0.0,897.2076,4.019626454591216,0.8012507,0.48463746649405937,missing
16,464,Ameresco Johnson Canyon,CA,BIOMASS,0.0,241.6559,3.4039001800299378,0.7547525,0.48082021039951417,missing
17,4261,Benson Power Biomass Plant,MN,BIOMASS,0.0,371.04434,3.604962818584145,0.8820844,0.4806869278323376,missing
18,1003,Kiefer Landfill,CA,BIOMASS,0.0,167.75299,3.233022836840813,0.8054005,0.48009248446701924,missing
19,6062,Fulton LFGTE Facility,NY,BIOMASS,0.0,533.80585,3.7756907540506215,0.8771417,0.4777375811759602,missing
20,4058,Donald C Cook,MI,NUCLEAR,0.0,0.34532407,0.9598221373578416,1.162978,0.4727489073824897,missing
21,7848,Buck Hydro,VA,HYDRO,0.0,168.86266,3.236106334059722,0.8518456,0.4717139748835303,missing
22,4549,Callaway,MO,NUCLEAR,0.0,3.8516374,1.5632807703917921,1.0326778,0.47116867001485396,missing
23,6526,Covanta WBH LLC,OK,BIOMASS,0.0,387.11096,3.624853338585406,0.8012026,0.46974690733844376,missing
24,5878,Galena 3 Geothermal Power Plant,NV,GEOTHERMAL,0.0,73.328224,2.8472660057913632,1.0060122,0.46955620933563574,missing
25,4480,St James,MN,OIL,1642.552,1474.0902,0.7693888208462464,1.399753,0.46744608851443037,verified
26,3364,Ottawa,KS,GAS,0.0,699.7874,3.902858262272164,0.9158411,0.4674159584959603,suspicious
27,802,Fairhaven Power,CA,BIOMASS,40.092,241.86357,1.6561368019444576,0.89490753,0.46456106569016253,verified
28,5525,Seabrook,NH,NUCLEAR,0.0,4.3662224,1.6107075150480967,1.0945642,0.4642272344026568,missing
29,2281,Edwin I Hatch,GA,NUCLEAR,0.0,0.9397937,1.1319878136929131,1.056369,0.46053511703674277,missing
30,4077,"Fremont Community Digester, LLC",MI,BIOMASS,0.0,333.2237,3.554527617074135,0.8770902,0.4595549111298269,missing
31,960,Ivanpah 1,CA,SOLAR,215.727,221.6776,0.8330086354233188,1.7949048,0.4592268877021586,verified
32,7055,Catawba,SC,NUCLEAR,0.0,0.059519768,0.847465717713133,0.97889704,0.45843281945207615,missing
33,6456,Perry,OH,NUCLEAR,0.0,2.6813715,1.4334174735048932,0.9389065,0.45809913449353007,missing
34,1487,Shiloh Wind Project 2 LLC,CA,WIND,0.0,4.241082,1.5996063081362453,1.2975022,0.4567926019374351,missing
35,7516,Nacogdoches Power LLC,TX,BIOMASS,0.0,226.77505,3.374126316741936,0.5185376,0.4564350985681208,missing
36,7988,Chace Mill Winooski One,VT,HYDRO,0.0,200.59036,3.3166725416422005,0.8301295,0.45591946880886175,missing
37,7639,South Texas Project,TX,NUCLEAR,0.0,0.0,0.7113515352701233,0.78878134,0.44873365876000837,missing
38,6884,Limerick,PA,NUCLEAR,0.0,0.0,0.7192880634020553,1.0850999,0.44713927234119755,missing
39,2325,MCLB Landfill Gas to Energy,GA,BIOMASS,0.0,337.82324,3.5609579818819053,0.78444433,0.4457390043129344,missing
40,2074,Central District Wastewater Treat Plant,FL,BIOMASS,0.0,194.09639,3.3012676183591703,0.8436342,0.4450468379324599,missing
41,3813,Back River Waste Water Treatment,MD,BIOMASS,0.0,379.69662,3.615778726289874,0.69459456,0.4449520331906322,missing
42,4363,Key City,MN,GAS,0.0,253.44724,3.4262233987465023,0.8047384,0.4444869289463955,suspicious
43,2642,Ottumwa City of,IA,HYDRO,0.0,143.29433,3.1593567534823577,1.0925047,0.44034729264632255,missing
44,3549,Waterford 3,LA,NUCLEAR,0.0,2.8694913,1.4568644469281744,1.029946,0.44007872692078787,missing
45,6986,Three Mile Island,PA,NUCLEAR,0.0,10.547427,1.9712441093954831,0.9786429,0.4398715005087822,missing
46,4214,Thetford,MI,GAS,0.0,379.53183,3.6155750292746127,0.8648931,0.4392295921249398,suspicious
47,1813,Comanche (470),CO,COAL,2104.4,8493.162,1.4765066965665061,1.2914374,0.436739015731485,verified
48,7234,Packaging Corporation of America,TN,BIOMASS,0.0,116.09563,3.0610931338514775,0.6535916,0.434335425658323,missing
49,1715,Waste Management Simi Valley LFGTE,CA,BIOMASS,0.0,230.21123,3.3811706889624498,0.654613,0.43333936419288926,missing
50,8262,Flambeau River Papers,WI,BIOMASS,67.483,1461.1998,2.2604159554143815,0.8770051,0.4325949981994155,verified
51,8044,Vermont Yankee,VT,NUCLEAR,0.0,11.126189,1.9942522256754764,0.9236001,0.4314536416014539,missing
